minute,second,period,team_name,player_name,position_name,x,y,end_x,end_y,body_part_name,technique_name,play_pattern_name,under_pressure,shot_first_time,shot_one_on_one,shot_open_goal,shot_deflected,shot_statsbomb_xg,outcome_name,season_name,goal,shot_distance,angle,centrality
81,32,2,Brazil,Rodrygo Silva de Goes,Center Attacking Midfield,98.8,27.3,117.4,40.1,Right Foot,Normal,Regular Play,False,True,False,False,False,0.03669105,Saved,2022,0,24.712952069714376,0.25417526033690535,12.7
82,32,2,Brazil,Frederico Rodrigues Santos,Right Defensive Midfield,95.6,43.5,113.3,39.4,Left Foot,Normal,Regular Play,False,False,False,False,False,0.088970646,Saved,2022,0,24.649746449000247,0.29198733116430126,3.5
84,22,2,Serbia,Nikola Milenković,Right Center Back,99.3,59.6,106.1,53.2,Right Foot,Normal,From Goal Kick,False,False,False,False,False,0.011090157,Blocked,2022,0,28.50701668010878,0.18735818053258013,19.6
86,7,2,Brazil,Rodrygo Silva de Goes,Center Attacking Midfield,101.5,30.6,120.0,43.2,Right Foot,Normal,Regular Play,False,False,False,False,False,0.051727816,Off T,2022,0,20.751144546747295,0.3138531692869694,9.399999999999999
87,49,2,Brazil,Antony Matheus dos Santos,Right Wing,99.4,59.1,120.0,35.7,Left Foot,Normal,Regular Play,False,False,False,False,False,0.009657804,Off T,2022,0,28.092169727523714,0.1919821589038193,19.1
97,3,2,Serbia,Nemanja Radonjić,Left Wing Back,93.8,21.5,99.7,25.5,Right Foot,Normal,From Free Kick,True,False,False,False,False,0.008691933,Blocked,2022,0,32.07319753314284,0.18669519745237717,18.5
5,35,1,Australia,Fran Karačić,Right Back,90.9,41.2,91.8,41.1,Right Foot,Volley,From Free Kick,True,True,False,False,False,0.015131147,Blocked,2022,0,29.124731758421394,0.24981858050272848,1.2000000000000028
20,20,1,Tunisia,Mohamed Dräger,Right Wing Back,92.0,42.5,120.0,40.4,Right Foot,Normal,From Throw In,False,False,False,False,False,0.029703999,Off T,2022,0,28.111385593741193,0.25795519913055276,2.5
22,50,1,Australia,Mitchell Thomas Duke,Right Center Forward,110.1,32.5,120.0,43.6,Head,Normal,From Throw In,False,False,False,False,False,0.04459479,Goal,2022,1,12.420144926690675,0.47514240700876864,7.5
26,6,1,Australia,Mitchell Thomas Duke,Right Center Forward,110.7,34.3,111.4,34.8,Head,Normal,From Free Kick,False,False,False,False,False,0.03948435,Blocked,2022,0,10.907795377618704,0.5726787417101955,5.700000000000003
33,45,1,Australia,Jackson Irvine,Right Defensive Midfield,114.3,48.2,120.0,47.2,Right Foot,Backheel,From Corner,False,True,False,False,False,0.07543106,Off T,2022,0,9.98649087517733,0.45018528365021293,8.200000000000003
37,17,1,Tunisia,Youssef Msakni,Left Attacking Midfield,102.8,54.8,105.9,52.9,Right Foot,Normal,From Counter,False,False,False,False,False,0.031703874,Blocked,2022,0,22.690967365892536,0.24597854946439868,14.799999999999997
40,6,1,Tunisia,Mohamed Dräger,Right Wing Back,109.2,48.4,114.8,44.3,Right Foot,Normal,From Throw In,False,True,False,False,False,0.21984866,Blocked,2022,0,13.682105101189654,0.42688495603482457,8.399999999999999
